t_no,t_name,t_nm_name,t_m_name,t_mwm,t_ml_number,t_ms_number,t_hml_number,t_hms_number ,t_cml_number,t_cms_number,t_wml_number,t_hwml_number,t_hwms_number,t_manage,t_tel,t_close,t_la,t_lo,t_data,t_mcode,t_service,t_com_score,t_user_count
1,청계산청계골입구 화장실,서울특별시 서초구 원지동 산5,서울특별시 서초구 원지동 산5,N,2,1,0,0,0,0,3,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.43471332,127.0621136,2019-05-01,3210000,서울특별시 서초구,0,0
2,청계산원터쉼터 화장실,서울특별시 서초구 원지동 산4-13,서울특별시 서초구 원지동 산4-13,N,3,2,0,0,0,0,4,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.43673937,127.0449492,2019-05-01,3210000,서울특별시 서초구,0,0
3,청계산 어둔골 화장실,서울특별시 서초구 원지동 산23-1,서울특별시 서초구 원지동 산23-1,N,2,2,0,0,0,0,4,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.44100756,127.0513882,2019-05-01,3210000,서울특별시 서초구,0,0
4,청계산 천개사 앞 화장실,서울특별시 서초구 원지동 420-2,서울특별시 서초구 원지동 420-2,N,2,2,0,0,0,0,3,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.44220972,127.0549328,2019-05-01,3210000,서울특별시 서초구,0,0
5,청계산공영주차장 화장실,서울특별시 서초구 원지동 362-1,서울특별시 서초구 원지동 362-1,N,4,5,0,0,0,0,9,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.44542714,127.0570552,2019-05-01,3210000,서울특별시 서초구,0,0
6,송동근린공원,서울특별시 서초구 우면동 777,서울특별시 서초구 우면동 777,N,1,3,0,0,0,0,4,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.45878864,127.0199471,2019-05-01,3210000,서울특별시 서초구,0,0
7,용허리근린공원,서울특별시 서초구 서초동 1324-1,서울특별시 서초구 서초동 1324-1,N,1,2,0,0,0,0,2,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.49425545,127.0229419,2019-05-01,3210000,서울특별시 서초구,0,0
8,몽마르뜨공원,서울특별시 서초구 반포대로37길 59,서울특별시 서초구 반포동 산94-4,N,2,2,0,0,0,0,2,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.49559835,127.0024969,2019-05-01,3210000,서울특별시 서초구,0,0
9,섬들근린공원,서울특별시 서초구 우면동 729,서울특별시 서초구 우면동 729,N,1,1,0,0,0,0,1,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.46310523,127.0254733,2019-05-01,3210000,서울특별시 서초구,0,0
10,생태놀이터,서울특별시 서초구 우면동 71,서울특별시 서초구 우면동 71,N,1,1,0,0,0,0,1,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.47321375,127.0290446,2019-05-01,3210000,서울특별시 서초구,0,0
